codigo,fuente_de_suministro,LT_meses
a017,sakura filter,6
h750,narva,4
a092,mann - brasil,4
a042,aisin - japon,6
e327,prextoline - lubricantes,2
b975,ito koyama - amortiguadores,6
a004,valvoline - usa,3
a045,ito koyama - resortes,6
b965,deestone,6
a003,valvoline,2
b972,ito koyama - palieres,6
e320,versachem - usa,1
e331,rover - usa,4
b650,deruibo,4
b969,ito koyama - direccion,6
a044,seco - embragues,4
a569,ishikawa - discos de freno,6
b973,ito koyama - trapecios,6
e326,prextoline - usa,4
c310,wagner locked - usa,2
e332,prestone - mexico,3
e322,prestone - usa,3
e880,ks - alemania,4
c305,wagner - pastillas,3
a207,denso - bujias - japon,3
d881,tkl - taiwan,4
a990,spaco - italia,4
b085,sakura - radiadores,6
h630,monark - alemania,4
a571,ishikawa - pastillas de freno,6
b968,ito koyama - bocamazas,6
z999,sin definicion,0
e881,ks - brasil,4
b127,ito koyama - cremalleras,6
a530,birene - cigueñales-culatas-ejes de levas,4
b977,ito koyama - torretas,6
d880,sealco - usa,3
a130,moog - usa,3
e160,clevite - usa,3
e330,prextoline - grasas,2
a294,skf - rodajes,4
a013,novaquimica - peru,1
a996,toyo - japon,4
b318,philips,4
a090,wix filters,4
h752,enertech - encendido,6
a640,nachi - koyo - ntn - nsk - japon,4
e560,mrk - japon,4
e564,sankei - japon,4
i281,german cardan - t v a - crucetas,4
a572,ishikawa - zapatas de freno,6
c461,collarines - nachi - koyo - nsk - japon,4
i130,garrett - brasil,4
a005,sabo- brasil,4
b082,plumillas - sakura,6
h970,marilia,4
a088,baldwin filters,4
c460,nas - pfi - zkl - mba,4
a080,zf - alemania,4
d040,sachs - brasil,4
h769,victor reinz - alemania,4
b395,owrun - aros de rueda,4
d883,ghm - frenos de aire,6
f940,goetze,4
e370,delphi - cav - brasil,4
b160,fag - alemania,4
a048,cas,4
b310,zsg - taiwan,4
b290,contitech - bolsas de aire,4
e020,varga,4
d782,nas - chumaceras,4
d045,kawe - embragues,4
a312,mahle - brasil,4
a568,fras-le,4
b280,vkntech,4
a305,ctr,4
b020,cei - italia,4
h460,vdo - brasil,4
h240,laso,4
a460,timken - rodajes,4
a810,fp diesel - usa,4
a063,denso - elementos - valvulas,4
a086,donaldson,4
b751,mirage,4
e319,crc - limpia carburador,4
f391,kamura,4
b680,glyco - alemania,4
a060,trw - brasil,4
b302,sachs - argentina,4
a620,affinia nakata - brasil,4
b095,gmb - bombas de agua,4
a140,precision - usa,4
d784,chumaceras - japon,4
a022,corteco - brasil,4
a618,lemforder - brasil,4
e562,tezuka - japon,4
a010,sealed power - usa,4
b460,zekiturbo,4
d591,osvat,4
a085,zy diesel,4
c571,daewha - korea,4
b840,boto tyres,4
b170,indeco - cables,4
e012,affinia urba - brasil,4
